Frame,Timestamp (s),Attention Score,Faces Detected
0,0,99,1
1,2,99,1
2,4,99,1
3,6,99,1
4,8,99,1
5,10,99,1
6,12,99,1
7,14,99,1
8,16,99,1
9,18,99,1
10,20,99,1
11,22,99,1
12,24,99,1
13,26,99,1
14,28,99,1
15,30,99,1
16,32,99,1
17,34,99,1
18,36,99,1
19,38,99,1
20,40,98,1
21,42,98,1
22,44,98,1
23,46,98,1
24,48,98,1
25,50,98,1
26,52,98,1
27,54,98,1
28,56,98,1
29,58,98,1
30,60,98,1
31,62,98,1
32,64,98,1
33,66,98,1
34,68,98,1
35,70,98,1
36,72,98,1
37,74,98,1
38,76,98,1
39,78,98,1
40,80,98,1
41,82,98,1
42,84,98,1
43,86,98,1
44,88,98,1
45,90,98,1
46,92,98,1
47,94,98,1
48,96,98,1
49,98,98,1
50,100,98,1
51,102,98,1
52,104,98,1
53,106,98,1
54,108,98,1
55,110,98,1
56,112,98,1
57,114,98,1
58,116,98,1
59,118,98,1
60,120,98,1
61,122,98,1
62,124,98,1
63,126,98,1
64,128,98,1
65,130,98,1
66,132,98,1
67,134,98,1
68,136,98,1
69,138,98,1
70,140,98,1
71,142,98,1
72,144,98,1
73,146,98,1
74,148,98,1
75,150,98,1
76,152,98,1
77,154,98,1
78,156,98,1
79,158,98,1
80,160,98,1
81,162,98,1
82,164,98,1
83,166,98,1
84,168,98,1
85,170,98,1
86,172,98,1
87,174,98,1
88,176,98,1
89,178,98,1
90,180,98,1
91,182,98,1
92,184,98,1
93,186,98,1
94,188,98,1
95,190,98,1
96,192,97,1
97,194,97,1
98,196,97,1
99,198,97,1
100,200,97,1
101,202,97,1
102,204,96,1
103,206,96,1
104,208,96,1
105,210,95,1
106,212,95,1
107,214,95,1
108,216,94,1
109,218,94,1
110,220,93,1
111,222,93,1
112,224,92,1
113,226,91,1
114,228,91,1
115,230,90,1
116,232,90,1
117,234,89,1
118,236,88,1
119,238,87,1
120,240,87,1
121,242,86,1
122,244,85,1
123,246,85,1
124,248,84,1
125,250,84,1
126,252,83,1
127,254,83,1
128,256,82,1
129,258,82,1
130,260,81,1
131,262,81,1
132,264,80,1
133,266,80,1
134,268,79,1
135,270,79,1
136,272,79,1
137,274,78,1
138,276,78,1
139,278,78,1
140,280,78,1
141,282,78,1
142,284,77,1
143,286,77,1
144,288,74,0
145,290,74,1
146,292,74,1
147,294,74,1
148,296,74,1
149,298,73,1
150,300,73,1
151,302,73,1
152,304,72,1
153,306,72,1
154,308,71,1
155,310,71,1
156,312,71,1
157,314,70,1
158,316,70,1
159,318,69,1
160,320,69,1
161,322,68,1
162,324,68,1
163,326,68,1
164,328,67,1
165,330,67,1
166,332,67,1
167,334,66,1
168,336,66,1
169,338,65,1
170,340,65,1
171,342,64,1
172,344,64,1
173,346,63,1
174,348,65,1
175,350,64,1
176,352,64,1
177,354,63,1
178,356,63,1
179,358,63,1
180,360,63,1
181,362,62,1
182,364,62,1
183,366,62,1
184,368,62,1
185,370,62,1
186,372,62,1
187,374,62,1
188,376,62,1
189,378,62,1
190,380,62,1
191,382,62,1
192,384,62,1
193,386,62,1
194,388,62,1
195,390,63,1
196,392,63,1
197,394,64,1
198,396,65,1
199,398,65,1
200,400,66,1
201,402,67,1
202,404,68,1
203,406,70,1
204,408,71,1
205,410,72,1
206,412,74,1
207,414,75,1
208,416,76,1
209,418,77,1
210,420,78,1
211,422,79,1
212,424,80,1
213,426,82,1
214,428,83,1
215,430,84,1
216,432,85,1
217,434,86,1
218,436,87,1
219,438,88,1
220,440,89,1
221,442,90,1
222,444,90,1
223,446,91,1
224,448,91,1
225,450,91,1
226,452,91,1
227,454,91,1
228,456,91,1
229,458,90,1
230,460,90,1
231,462,89,1
232,464,88,1
233,466,88,1
234,468,87,1
235,470,86,1
236,472,85,1
237,474,84,1
238,476,83,1
239,478,82,1
240,480,81,1
241,482,80,1
242,484,79,1
243,486,78,1
244,488,77,1
245,490,76,1
246,492,75,1
247,494,73,1
248,496,72,1
249,498,71,1
250,500,69,1
251,502,68,1
252,504,67,1
253,506,65,1
254,508,64,1
255,510,63,1
256,512,62,1
257,514,62,1
258,516,61,1
259,518,60,1
260,520,60,1
261,522,60,1
262,524,60,1
263,526,59,1
264,528,59,1
265,530,59,1
266,532,59,1
267,534,58,1
268,536,58,1
269,538,58,1
270,540,58,1
271,542,58,1
272,544,57,1
273,546,57,1
274,548,57,1
275,550,58,1
276,552,58,1
277,554,59,1
278,556,59,1
279,558,60,1
280,560,61,1
281,562,62,1
282,564,63,1
283,566,64,1
284,568,65,1
285,570,66,1
286,572,67,1
287,574,69,1
288,576,70,1
289,578,71,1
290,580,72,1
291,582,73,1
292,584,74,1
293,586,75,1
294,588,77,1
295,590,78,1
296,592,79,1
297,594,80,1
298,596,81,1
299,598,82,1
300,600,83,1
301,602,84,1
302,604,85,1
303,606,85,1
304,608,86,1
305,610,87,1
306,612,87,1
307,614,88,1
308,616,88,1
309,618,89,1
310,620,89,1
311,622,90,1
312,624,90,1
313,626,90,1
314,628,90,1
315,630,90,1
316,632,90,1
317,634,90,1
318,636,90,1
